Date	News	result	scores
Thursday, 18 May 2023 23:39:45	Gold Price Forecast: XAU/USD stays bearish as US debt ceiling talks, Fed Chair Powell’s speech loom	neutral	0.6031550765037537
Thursday, 18 May 2023 21:19:58	Gold Price Forecast: XAU/USD bears eye downside continuation to key support	negative	0.6042930483818054
Thursday, 18 May 2023 14:59:08	Gold Price Forecast: XAU/USD to reach $2,120 by Q1 2024 – ANZ	neutral	0.8823394775390625
Thursday, 18 May 2023 13:25:50	Gold Price Forecast: XAU/USD dives to $1,960, lowest since April amid sustained USD buying	negative	0.7462718486785889
Thursday, 18 May 2023 09:30:22	Gold Price Forecast: XAU/USD drops to nearly one-month low amid sustained US Dollar buying	negative	0.7307442426681519
Thursday, 18 May 2023 06:47:27	Gold Futures: A deeper pullback seems unlikely	negative	0.6723892688751221
Thursday, 18 May 2023 06:14:39	Gold Price Forecast: XAU/USD eyes more weakness below $1,970 amid optimism for US debt-ceiling raise	negative	0.620345950126648
Thursday, 18 May 2023 02:54:01	Gold Price Forecast: XAU/USD recovery hinges on $1,995 breakout, US debt limit optimism	neutral	0.5622572898864746
Friday, 19 May 2023 18:15:01	Gold Price Forecast: XAU/USD recoups losses amid hawkish Fed rhetoric, eyeing $1980 resistance	negative	0.6278381943702698
Friday, 19 May 2023 14:57:13	Three reasons to buy Gold now – UBS	neutral	0.905074417591095
Friday, 19 May 2023 12:10:24	Gold Price Forecast: Limited further downside potential as US rate hike cycle may have ended – Commerzbank	negative	0.699644923210144
Friday, 19 May 2023 10:49:26	Gold Price Forecast: XAU/USD scales higher on weaker US Dollar, trades around $1,965 region	neutral	0.7852290272712708
Friday, 19 May 2023 08:09:31	Gold Price Forecast: XAU/USD retreats with gains in the US Dollar – ANZ	neutral	0.5653799772262573
Friday, 19 May 2023 06:15:00	Gold Price Forecast: XAU/USD attempts recovery below $1,960 as USD Index turns sideways ahead of Fed speech	negative	0.4715879261493683
Friday, 19 May 2023 05:35:51	Gold Futures: Decline now appears contained	neutral	0.6289042830467224
Friday, 19 May 2023 02:28:42	Gold Price Forecast: XAU/USD sellers dominate below $1,975, Fed clues, US default eyed – Confluence Detector	neutral	0.7419308423995972
Sunday, 21 May 2023 22:20:15	Gold Price Forecast: XAU/USD rebound hinges on US debt ceiling talks, inflation clues and Fed Minutes	neutral	0.7745171785354614
Tuesday, 23 May 2023 22:09:45	Gold Price Forecast: XAU/USD stabilizes above $1,970 as focus shifts to US FOMC minutes	neutral	0.7560478448867798
Tuesday, 23 May 2023 15:49:05	Gold Price Forecast: XAU/USD slips amid US debt ceiling uncertainty, US equities tumble	negative	0.8354468941688538
Tuesday, 23 May 2023 14:58:46	Gold Price Forecast: XAU/USD likely to be ultimate safe haven in event of US default – Commerzbank	positive	0.5773230791091919
Tuesday, 23 May 2023 09:13:25	Gold Price Forecast: XAU/USD hangs near monthly low on modest US Dollar strength	negative	0.5817491412162781
Tuesday, 23 May 2023 06:22:12	Gold Futures: A sustained pullback seems unlikely	negative	0.6414860486984253
Tuesday, 23 May 2023 03:46:56	Gold Price Forecast: XAU/USD bears dominate below $2,000 on firmer US Dollar despite no debt ceiling deal	negative	0.47525516152381897
Tuesday, 23 May 2023 01:16:45	Gold Price Forecast: XAU/USD drops below $1,970 as Fed expresses more rate hikes this year	negative	0.48153889179229736
Tuesday, 23 May 2023 22:09:45	Gold Price Forecast: XAU/USD stabilizes above $1,970 as focus shifts to US FOMC minutes	neutral	0.7560478448867798
Tuesday, 23 May 2023 15:49:05	Gold Price Forecast: XAU/USD slips amid US debt ceiling uncertainty, US equities tumble	negative	0.8354468941688538
Tuesday, 23 May 2023 14:58:46	Gold Price Forecast: XAU/USD likely to be ultimate safe haven in event of US default – Commerzbank	positive	0.5773230791091919
Tuesday, 23 May 2023 09:13:25	Gold Price Forecast: XAU/USD hangs near monthly low on modest US Dollar strength	negative	0.5817491412162781
Tuesday, 23 May 2023 06:22:12	Gold Futures: A sustained pullback seems unlikely	negative	0.6414860486984253
Tuesday, 23 May 2023 03:46:56	Gold Price Forecast: XAU/USD bears dominate below $2,000 on firmer US Dollar despite no debt ceiling deal	negative	0.47525516152381897
Tuesday, 23 May 2023 01:16:45	Gold Price Forecast: XAU/USD drops below $1,970 as Fed expresses more rate hikes this year	negative	0.48153889179229736
Wednesday, 24 May 2023 22:06:35	Gold Price Forecast: XAU/USD bears eye $1,925 as US Dollar, yields rise amid debt ceiling woes	negative	0.6901895999908447
Wednesday, 24 May 2023 19:06:05	Gold Price Forecast: XAU/USD bears move in and eye critical support near $1,950	neutral	0.6714608073234558
Wednesday, 24 May 2023 15:31:26	Gold Price Forecast: XAU/USD dives amid stalled US debt-ceiling talks as the USD strengthens	negative	0.5716415047645569
Wednesday, 24 May 2023 14:59:05	Gold Price Forecast: XAU/USD could correct down to $1,892 on a break below $1,949/40 – Credit Suisse	neutral	0.9003512859344482
Wednesday, 24 May 2023 09:07:46	Gold Futures: Extra rebound looks unconvincing	neutral	0.5219525694847107
Wednesday, 24 May 2023 07:21:10	Gold Price Forecast: XAU/USD ticks lower to $1,970 level, focus remains on FOMC minutes	neutral	0.8378412127494812
Wednesday, 24 May 2023 03:35:45	Gold Price Forecast: XAU/USD grinds near $1,970 amid Fed concerns, debt ceiling woes – Confluence Detector	negative	0.8451889753341675
Wednesday, 24 May 2023 00:49:30	Gold Price Forecast: XAU/USD falters below $1,985 amid US debt ceiling woes, Fed Minutes eyed	negative	0.8637755513191223
Thursday, 25 May 2023 22:04:37	Gold Price Forecast: XAU/USD bears occupy driver’s seat on hawkish Fed bets, US default jitters	negative	0.7656953930854797
Thursday, 25 May 2023 13:09:58	Gold Price Forecast: XAU/USD drops to fresh two-month low near $1,940 after US data	negative	0.5397454500198364
Thursday, 25 May 2023 07:28:45	Gold Futures: A sustained drop seems unlikely	negative	0.5894190073013306
Thursday, 25 May 2023 05:10:19	Gold Price Forecast: XAU/USD tests lower range limit around mid-1,900s on rising US debt uncertainties	neutral	0.7800359725952148
Thursday, 25 May 2023 01:14:56	Gold Price Forecast: XAU/USD stabilizes below $1,960 as USD Index refreshes day high, US Durables eyed	neutral	0.6343159079551697
Friday, 26 May 2023 15:36:02	Gold Price Forecast: XAU/USD ascents gradually amidst high US bond yields, post solid US data	neutral	0.7004877328872681
Friday, 26 May 2023 14:58:19	Gold Price Forecast: XAU/USD downside potential is probably exhausted for now – Commerzbank	negative	0.7751600742340088
Friday, 26 May 2023 07:36:40	Gold Price Forecast: XAU/USD recovers further from two-month low, climbs back above $1,950	neutral	0.47062087059020996
Friday, 26 May 2023 06:19:18	Gold Futures: Room for a near-term rebound	neutral	0.824738085269928
Friday, 26 May 2023 04:00:33	Gold Price Forecast: XAU/USD rebound appears elusive within $1,951-43 range – Confluence Detector	negative	0.517373263835907
Friday, 26 May 2023 00:48:07	Gold Price Forecast: XAU/USD slips below $1,940 amid US default jitters, US Durables in focus	negative	0.6836043000221252
